dataset,scene,image,rotation_matrix,translation_vector
imc2023_theather_imc2024_church,church,church_00035.png,0.993207265;-0.100123565;0.059284061;0.102360295;0.994096827;-0.035970380;-0.055332614;0.041794376;0.997592869,0.864401574;-0.107223435;-0.373734765
imc2023_theather_imc2024_church,church,church_00047.png,0.442812587;-0.365784530;-0.818607776;0.318327008;0.917657545;-0.237849839;0.838203393;-0.155262062;0.522789407,-0.328493414;1.351381560;3.835945721
imc2023_theather_imc2024_church,church,church_00041.png,0.386641492;-0.419365702;-0.821365184;0.343680190;0.891995252;-0.293646722;0.855799208;-0.168750936;0.489010059,-0.294829852;1.333487129;3.855207850
imc2023_theather_imc2024_church,church,church_00055.png,-0.252926435;-0.392100876;-0.884468836;0.485805722;0.739114658;-0.466585816;0.836672588;-0.547691908;0.003543214,0.405235621;0.304172292;0.616976545
imc2023_theather_imc2024_church,church,church_00013.png,-0.351234045;-0.369509683;-0.860289044;0.227159304;0.857746578;-0.461160990;0.908313435;-0.357398100;-0.217332238,2.190807626;0.814344081;4.413736470
imc2023_theather_imc2024_church,church,church_00019.png,-0.347248413;-0.426758089;-0.835042558;0.378862842;0.750706182;-0.541205298;0.857835349;-0.504299278;-0.098998748,2.499176947;1.502351068;3.360432957
imc2023_theather_imc2024_church,church,church_00012.png,-0.484834176;-0.306468217;-0.819153865;0.278665922;0.833654839;-0.476827970;0.829024201;-0.459452763;-0.318782109,1.623552778;0.885131624;3.821997021
imc2023_theather_imc2024_church,church,church_00048.png,0.224517248;-0.367232769;-0.902625115;0.530262082;0.823170096;-0.203010140;0.817565979;-0.433048595;0.379545498,-0.038655500;0.710745770;1.300743971
imc2023_theather_imc2024_church,church,church_00108.png,0.428953319;0.344437198;0.835082072;-0.344520831;0.916956142;-0.201238244;-0.835047572;-0.201381356;0.511997170,-1.614110413;1.790495899;3.732521511
imc2023_theather_imc2024_church,church,church_00111.png,-0.018049501;0.406007631;0.913691425;-0.479790859;0.798231601;-0.364179960;-0.877197211;-0.444954060;0.180391068,-0.441406694;2.700311548;4.340614970
imc2023_theather_imc2024_church,church,church_00091.png,0.804620556;0.165918598;0.570137510;0.001129791;0.959738486;-0.280892793;-0.593788249;0.226656252;0.772037861,-2.455572491;0.358795524;3.471224225
imc2023_theather_imc2024_church,church,church_00082.png,0.990687467;0.054659187;0.124702509;-0.048473816;0.997464231;-0.052109475;-0.127234553;0.045579397;0.990824852,-1.773560675;1.270655638;3.082336458
imc2023_theather_imc2024_church,church,church_00023.png,-0.406724225;-0.358438940;-0.840295741;0.449771250;0.722044105;-0.525697758;0.795161133;-0.591754879;-0.132457299,1.969438184;1.642655471;3.365650464
imc2023_theather_imc2024_church,church,church_00053.png,-0.020439491;-0.426247380;-0.904375695;0.684188915;0.653618697;-0.323524539;0.729018351;-0.625376503;0.278274099,0.458515754;0.807509521;0.936202665
imc2023_theather_imc2024_church,church,church_00079.png,0.992850636;0.026139710;0.116466006;-0.041778186;0.990109731;0.133930218;-0.111813229;-0.137838440;0.984123146,-1.615077414;1.716611568;2.600743603
imc2023_theather_imc2024_church,church,church_00014.png,-0.265860890;-0.376440779;-0.887474128;0.202874520;0.878140333;-0.433256835;0.942422366;-0.295231935;-0.157092928,2.583484951;0.603463091;4.210899613
imc2023_theather_imc2024_church,church,church_00022.png,-0.078644627;-0.374289907;-0.923970827;0.466533769;0.805266153;-0.365913466;0.881000150;-0.459840721;0.111289025,1.529299474;1.013377849;2.379859090
imc2023_theather_imc2024_church,church,church_00104.png,-0.379724176;0.303703270;0.873827142;-0.216949309;0.888999662;-0.403252525;-0.899301144;-0.342700927;-0.271686450,0.829187272;1.002388397;3.659496491
imc2023_theather_imc2024_church,church,church_00043.png,0.427102855;-0.426717144;-0.797179798;0.333907634;0.893754136;-0.299515002;0.840290928;-0.138260707;0.524209055,0.725658648;1.358117189;4.030897139
imc2023_theather_imc2024_church,church,church_00109.png,0.137202911;0.423010164;0.895677265;-0.463614739;0.826496515;-0.319319409;-0.875349493;-0.371437628;0.309511474,-0.819819373;2.113128068;3.545903298
imc2023_theather_imc2024_church,church,church_00100.png,0.308927937;0.394311723;0.865495115;-0.381192530;0.885052468;-0.267159846;-0.871352847;-0.247387133;0.423726117,-1.482870027;1.597143547;3.198174650
imc2023_theather_imc2024_church,church,church_00018.png,-0.601853710;-0.293647576;-0.742659554;0.401542439;0.692573095;-0.599254685;0.690315711;-0.658872984;-0.298915723,1.316040990;1.841266498;3.779234607
imc2023_theather_imc2024_church,church,church_00021.png,-0.235057352;-0.313181348;-0.920144274;0.437930914;0.811013200;-0.387909916;0.867735303;-0.494140701;-0.053482821,1.032844229;1.050830453;2.800836924
imc2023_theather_imc2024_church,church,church_00078.png,0.857480971;0.170934221;0.485291537;-0.102689045;0.981080716;-0.164120655;-0.504164005;0.090896214;0.858811117,-1.648947542;1.021348882;3.458551896
imc2023_theather_imc2024_church,church,church_00083.png,0.759849471;0.189645002;0.621822767;-0.224335016;0.974240737;-0.022995368;-0.610166028;-0.122023602;0.782820324,-1.463416950;1.589710085;3.227930014
imc2023_theather_imc2024_church,church,church_00092.png,0.741956564;0.217874892;0.634059136;-0.224805101;0.971822585;-0.070876860;-0.631635277;-0.089952177;0.770029533,-2.088494467;1.532544241;3.406875980
imc2023_theather_imc2024_church,church,church_00093.png,0.595270445;0.228745905;0.770278137;-0.384908254;0.922656639;0.023459811;-0.705335901;-0.310451344;0.637276415,-1.328413124;2.240136682;3.206212632
imc2023_theather_imc2024_church,church,church_00073.png,0.999417161;-0.011959828;0.031973434;0.014922961;0.995450467;-0.094104588;-0.030702495;0.094526878;0.995048756,-1.239214022;1.166587279;3.470249894
imc2023_theather_imc2024_church,church,church_00087.png,0.828741378;0.175522391;0.531394034;-0.172091484;0.983461880;-0.056455746;-0.532515024;-0.044661175;0.845241462,-2.237894006;1.355384478;3.091577504
imc2023_theather_imc2024_church,church,church_00005.png,-0.549616469;-0.284201833;-0.785589622;0.397159030;0.738407619;-0.544994397;0.734973769;-0.611541908;-0.292967665,0.904502901;1.995266638;4.751540272
imc2023_theather_imc2024_church,church,church_00028.png,-0.111633282;-0.399933195;-0.909720534;0.603900158;0.699713064;-0.381714851;0.789203782;-0.591992456;0.163408453,3.036329487;1.669852060;2.497212046
imc2023_theather_imc2024_church,church,church_00075.png,0.993424400;-0.084908801;-0.076801408;0.068852372;0.979022328;-0.191767132;0.091473010;0.185218189;0.978430841,-2.889247465;0.484193665;2.241783499
imc2023_theather_imc2024_church,church,church_00006.png,-0.273396404;-0.496081573;-0.824110114;0.232285908;0.797345648;-0.557030677;0.933433267;-0.343719350;-0.102758674,2.098754304;1.335312502;4.744688007
imc2023_theather_imc2024_church,church,church_00004.png,-0.515416076;-0.311897324;-0.798164349;0.259613439;0.830808171;-0.492299344;0.816668311;-0.460953188;-0.347239150,1.120969543;1.145679911;4.971158589
imc2023_theather_imc2024_church,church,church_00016.png,-0.270752623;-0.319350523;-0.908134495;0.545885712;0.726094134;-0.418086233;0.792907187;-0.608935589;-0.022263004,1.587220779;2.013762266;3.735102953
imc2023_theather_imc2024_church,church,church_00099.png,0.332296368;0.374357336;0.865699549;-0.502292259;0.847109806;-0.173515023;-0.798299198;-0.377175770;0.469528304,-1.306820975;2.084562847;2.960547890
imc2023_theather_imc2024_church,church,church_00025.png,0.220471241;-0.422784445;-0.879002699;0.355993605;0.873890282;-0.331035237;0.908108466;-0.239935590;0.343176234,2.731109103;0.589073377;1.767988493
imc2023_theather_imc2024_church,church,church_00040.png,0.406768055;-0.315689239;-0.857251453;0.488206640;0.868270754;-0.088091853;0.772136015;-0.382682900;0.507306388,0.755276753;0.718430410;1.358144044
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_170709.png,0.961211668;0.012901285;0.275509866;0.010296712;0.996530571;-0.082588127;-0.275619497;0.082221517;0.957743971,-77.679753822;-3.204137347;111.694637293
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_170633.png,0.998399226;0.030670200;0.047521838;-0.038681454;0.983254561;0.178084847;-0.041264166;-0.179637987;0.982866961,-55.274276253;26.156665954;112.306267637
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_170350.png,-0.008875534;-0.176226804;-0.984309574;0.392943222;0.904548894;-0.165489950;0.919519901;-0.388246587;0.061218774,110.125450021;30.492026199;40.791797945
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_170339.png,-0.916192927;-0.081775243;-0.392305150;0.029547125;0.962508451;-0.269637625;0.399646705;-0.258631574;-0.879427211,49.953658667;24.613648291;99.846790343
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_170250.png,0.991706180;0.023802108;0.126302467;-0.094405079;0.801746305;0.590161456;-0.087215449;-0.597190357;0.797343805,-132.171156404;10.076239887;-5.339271703
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165709.png,0.281906664;-0.231103827;-0.931192598;0.809764446;0.577868965;0.101730044;0.514597100;-0.782725035;0.350044774,79.737462585;-11.870425297;-27.153188022
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165703.png,-0.112709811;-0.214396589;-0.970221934;0.375655486;0.894777117;-0.241364591;0.919880130;-0.391673350;-0.020310905,83.227783182;23.314358366;19.596047345
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165700.png,-0.210256905;-0.189916306;-0.959022331;0.060796639;0.976511758;-0.206708866;0.975753966;-0.101767301;-0.193772067,80.542764772;14.112088748;34.029322886
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165641.png,-0.641734774;-0.116050688;-0.758095454;0.009570816;0.987196147;-0.159223640;0.766866924;-0.109434939;-0.632407396,31.868759390;9.280189789;74.291251346
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165612.png,0.806304981;-0.119502024;-0.579302636;0.091505415;0.992789192;-0.077436289;0.584379190;0.009427937;0.811425953,75.609069330;5.990623572;-4.362555786
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165608.png,0.591056767;-0.117485588;-0.798028217;0.419281735;0.889929127;0.179524304;0.689097036;-0.440707710;0.575258194,73.002931420;14.008397046;15.375518690
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165549.png,0.513876065;-0.159977291;-0.842815909;0.273440166;0.961758680;-0.015834053;0.813118605;-0.222322982;0.537968983,58.220903951;16.932965439;47.731660367
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165418.png,0.605689031;-0.081716200;-0.791494321;0.214204459;0.974736626;0.063284747;0.766327115;-0.207872490;0.607891257,40.418170075;21.219386879;123.833066745
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165343.png,0.584472567;-0.134685556;-0.800157247;0.145033657;0.987587834;-0.060295177;0.798346452;-0.080808855;0.596751935,13.898562359;2.700116340;187.200550666
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165449.png,-0.114772453;-0.148707430;-0.982198241;0.014835628;0.988365118;-0.151374694;0.993281022;-0.031945173;-0.111230921,-12.935892814;-8.273643695;120.334614200
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165722.png,0.362624131;-0.143132014;-0.920878367;-0.089133323;0.978278647;-0.187152716;0.927663188;0.149947040;0.341989612,78.180158533;11.055058145;-32.435198591
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165737.png,-0.019725354;-0.164482040;-0.986182827;-0.001674133;0.986378791;-0.164481238;0.999804035;-0.001593450;-0.019732036,83.604608569;8.919119493;-1.720631063
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165748.png,0.982280174;0.046823910;0.181475015;-0.033130636;0.996420927;-0.077766945;-0.184466855;0.070376545;0.980315827,-44.621072179;6.245109924;-52.061569644
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165811.png,0.978723981;-0.023070561;-0.203880155;-0.002791977;0.992069075;-0.125662866;0.205162310;0.123558490;0.970897382,-42.338809987;9.950252776;-46.500600063
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165815.png,0.318328968;-0.194763760;-0.927757374;0.433407155;0.900297154;-0.040289851;0.843104327;-0.389271258;0.371002671,16.552488882;-15.478830936;-59.333386108
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165822.png,0.444994446;-0.197648284;-0.873450113;0.604858203;0.785585829;0.130389645;0.660398742;-0.586336133;0.469130516,8.045496877;-30.850114515;-54.402856753
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165845.png,0.901654368;0.102880024;0.420041785;-0.072410642;0.993494055;-0.087899160;-0.426352084;0.048839166;0.903237863,-81.875778505;15.309853898;11.259206575
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165920.png,0.979262821;-0.013668627;0.202132371;-0.018619087;0.987427032;0.156975111;-0.201736602;-0.157483410;0.966696084,-54.651247032;7.618781185;44.902350465
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_165957.png,0.999935289;-0.003704275;-0.010756226;0.003738258;0.999988080;0.003140989;0.010744463;-0.003180996;0.999937217,-52.308560284;10.782430382;79.744109964
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_170001.png,0.744460296;-0.553553386;0.373306197;0.625884636;0.773281672;-0.101508022;-0.232480731;0.309215305;0.922138062,-13.718872532;-32.160726195;89.366276549
imc2023_theather_imc2024_church,kyiv-puppet-theater,kyiv_puppet_theater_img_20220127_170022.png,0.969779252;0.025391672;0.242659155;0.019106994;0.983611644;-0.179284849;-0.243234713;0.178503214;0.953401005,-29.852714370;-4.993067757;91.195309976
